Country,Freedom in the World 2022,2022 Index of Economic Freedom,2022 Press Freedom Index,2021 Democracy Index
 Afghanistan,not free,n/a,very serious situation,authoritarian regime
 Albania,partly free,moderately free,noticeable problems,flawed democracy
 Algeria,not free,repressed,difficult situation,authoritarian regime
 Andorra,free,n/a,noticeable problems,n/a
 Angola,not free,mostly unfree,noticeable problems,authoritarian regime
 Antigua and Barbuda,free,n/a,noticeable problems,n/a
 Argentina,free,mostly unfree,satisfactory situation,flawed democracy
 Armenia,partly free,moderately free,noticeable problems,hybrid regime
 Australia,free,mostly free,satisfactory situation,full democracy
 Austria,free,mostly free,satisfactory situation,full democracy
 Azerbaijan,not free,moderately free,very serious situation,authoritarian regime
 Bahamas,free,moderately free,n/a,n/a
 Bahrain,not free,moderately free,very serious situation,authoritarian regime
 Bangladesh,partly free,mostly unfree,very serious situation,hybrid regime
 Barbados,free,mostly free,n/a,n/a
 Belarus,not free,mostly unfree,very serious situation,authoritarian regime
 Belgium,free,moderately free,satisfactory situation,flawed democracy
 Belize,free,mostly unfree,satisfactory situation,n/a
 Benin,partly free,moderately free,difficult situation,hybrid regime
 Bhutan,partly free,mostly unfree,satisfactory situation,hybrid regime
 Bolivia,partly free,repressed,difficult situation,hybrid regime
 Bosnia and Herzegovina,partly free,moderately free,noticeable problems,hybrid regime
 Botswana,free,moderately free,noticeable problems,flawed democracy
 Brazil,free,mostly unfree,noticeable problems,flawed democracy
 Brunei,not free,moderately free,difficult situation,n/a
 Bulgaria,free,mostly free,noticeable problems,flawed democracy
 Burkina Faso,partly free,mostly unfree,satisfactory situation,authoritarian regime
 Burma,not free,repressed,very serious situation,authoritarian regime
 Burundi,not free,repressed,noticeable problems,authoritarian regime
 Cambodia,not free,mostly unfree,difficult situation,authoritarian regime
 Cameroon,not free,mostly unfree,difficult situation,authoritarian regime
 Canada,free,mostly free,satisfactory situation,full democracy
 Cape Verde,free,moderately free,satisfactory situation,flawed democracy
 Central African Republic,not free,repressed,noticeable problems,authoritarian regime
 Chad,not free,repressed,noticeable problems,authoritarian regime
 Chile,free,mostly free,noticeable problems,flawed democracy
 China,not free,repressed,very serious situation,authoritarian regime
 Colombia,partly free,moderately free,difficult situation,flawed democracy
 Comoros,partly free,mostly unfree,noticeable problems,authoritarian regime
 Costa Rica,free,moderately free,good situation,full democracy
" Congo, Democratic Republic of the",not free,repressed,difficult situation,authoritarian regime
" Congo, Republic of the",not free,repressed,noticeable problems,authoritarian regime
 Croatia,free,moderately free,satisfactory situation,flawed democracy
 Cuba,not free,repressed,very serious situation,authoritarian regime
 Cyprus,free,mostly free,noticeable problems,flawed democracy
 Czech Republic,free,mostly free,satisfactory situation,flawed democracy
 Denmark,free,mostly free,good situation,full democracy
 Djibouti,not free,mostly unfree,very serious situation,authoritarian regime
 Dominica,free,mostly unfree,noticeable problems,n/a
 Dominican Republic,partly free,moderately free,satisfactory situation,flawed democracy
 East Timor,free,repressed,satisfactory situation,flawed democracy
 Ecuador,free,mostly unfree,noticeable problems,hybrid regime
 Egypt,not free,repressed,very serious situation,authoritarian regime
 El Salvador,partly free,mostly unfree,difficult situation,hybrid regime
 Equatorial Guinea,not free,repressed,difficult situation,authoritarian regime
 Eritrea,not free,repressed,very serious situation,authoritarian regime
 Estonia,free,free,good situation,flawed democracy
 Eswatini,not free,mostly unfree,difficult situation,authoritarian regime
 Ethiopia,not free,repressed,difficult situation,authoritarian regime
 Fiji,partly free,mostly unfree,noticeable problems,hybrid regime
 Finland,free,mostly free,good situation,full democracy
 France,free,moderately free,satisfactory situation,flawed democracy
 Gabon,not free,mostly unfree,noticeable problems,authoritarian regime
 Gambia,partly free,mostly unfree,noticeable problems,hybrid regime
 Georgia,partly free,mostly free,noticeable problems,hybrid regime
 Germany,free,mostly free,satisfactory situation,full democracy
 Ghana,free,mostly unfree,noticeable problems,flawed democracy
 Greece,free,moderately free,noticeable problems,flawed democracy
 Grenada,free,n/a,noticeable problems,n/a
 Guatemala,partly free,moderately free,difficult situation,hybrid regime
 Guinea,not free,mostly unfree,noticeable problems,authoritarian regime
 Guinea-Bissau,partly free,repressed,noticeable problems,authoritarian regime
 Guyana,free,mostly unfree,satisfactory situation,flawed democracy
 Haiti,not free,mostly unfree,noticeable problems,authoritarian regime
 Honduras,partly free,mostly unfree,very serious situation,hybrid regime
 Hong Kong,partly free,n/a,difficult situation,hybrid regime
 Hungary,partly free,moderately free,noticeable problems,flawed democracy
 Iceland,free,mostly free,satisfactory situation,full democracy
 India,partly free,mostly unfree,difficult situation,flawed democracy
 Indonesia,partly free,moderately free,difficult situation,flawed democracy
 Iran,not free,repressed,very serious situation,authoritarian regime
 Iraq,not free,n/a,very serious situation,authoritarian regime
 Ireland,free,free,good situation,full democracy
 Israel,free,moderately free,noticeable problems,flawed democracy
 Italy,free,moderately free,noticeable problems,flawed democracy
 Ivory Coast,partly free,moderately free,satisfactory situation,hybrid regime
 Jamaica,free,moderately free,satisfactory situation,flawed democracy
 Japan,free,moderately free,noticeable problems,full democracy
 Jordan,not free,moderately free,difficult situation,authoritarian regime
 Kazakhstan,not free,moderately free,difficult situation,authoritarian regime
 Kenya,partly free,mostly unfree,noticeable problems,hybrid regime
 Kiribati,free,mostly unfree,n/a,n/a
 North Korea,not free,repressed,very serious situation,authoritarian regime
 South Korea,free,mostly free,satisfactory situation,full democracy
 Kosovo,partly free,moderately free,noticeable problems,n/a
 Kuwait,partly free,mostly unfree,very serious situation,authoritarian regime
 Kyrgyzstan,not free,mostly unfree,noticeable problems,authoritarian regime
 Laos,not free,repressed,very serious situation,authoritarian regime
 Latvia,free,mostly free,satisfactory situation,flawed democracy
 Lebanon,partly free,repressed,difficult situation,authoritarian regime
 Lesotho,partly free,repressed,noticeable problems,flawed democracy
 Liberia,partly free,repressed,noticeable problems,hybrid regime
 Libya,not free,n/a,difficult situation,authoritarian regime
 Liechtenstein,free,n/a,satisfactory situation,n/a
 Lithuania,free,mostly free,satisfactory situation,flawed democracy
 Luxembourg,free,free,satisfactory situation,full democracy
 Madagascar,partly free,mostly unfree,noticeable problems,hybrid regime
 Malawi,partly free,mostly unfree,noticeable problems,hybrid regime
 Malaysia,partly free,moderately free,difficult situation,flawed democracy
 Maldives,partly free,repressed,noticeable problems,n/a
 Mali,not free,mostly unfree,difficult situation,authoritarian regime
 Malta,free,mostly free,noticeable problems,flawed democracy
 Marshall Islands,free,n/a,n/a,n/a
 Mauritania,partly free,mostly unfree,noticeable problems,hybrid regime
 Mauritius,free,mostly free,noticeable problems,full democracy
 Mexico,partly free,moderately free,difficult situation,hybrid regime
" Micronesia, Federated States of",free,moderately free,n/a,n/a
 Moldova,partly free,moderately free,satisfactory situation,flawed democracy
 Monaco,free,n/a,n/a,n/a
 Mongolia,free,moderately free,noticeable problems,flawed democracy
 Montenegro,partly free,mostly unfree,noticeable problems,flawed democracy
 Morocco,partly free,mostly unfree,difficult situation,hybrid regime
 Mozambique,partly free,mostly unfree,difficult situation,authoritarian regime
 Namibia,free,mostly unfree,satisfactory situation,flawed democracy
 Nauru,free,n/a,n/a,n/a
   Nepal,partly free,repressed,noticeable problems,hybrid regime
 Netherlands,free,mostly free,satisfactory situation,full democracy
 New Zealand,free,free,satisfactory situation,full democracy
 Nicaragua,not free,mostly unfree,very serious situation,authoritarian regime
 Niger,partly free,mostly unfree,noticeable problems,authoritarian regime
 Nigeria,partly free,mostly unfree,difficult situation,hybrid regime
 North Macedonia,partly free,moderately free,noticeable problems,flawed democracy
 Norway,free,mostly free,good situation,full democracy
 Oman,not free,mostly unfree,very serious situation,authoritarian regime
 Pakistan,partly free,repressed,very serious situation,hybrid regime
 Palau,free,n/a,n/a,n/a
 Palestine,not free,n/a,very serious situation,authoritarian regime
 Panama,free,moderately free,noticeable problems,flawed democracy
 Papua New Guinea,partly free,mostly unfree,noticeable problems,flawed democracy
 Paraguay,partly free,moderately free,noticeable problems,hybrid regime
 Peru,free,moderately free,noticeable problems,flawed democracy
 Philippines,partly free,moderately free,difficult situation,flawed democracy
 Poland,free,moderately free,noticeable problems,flawed democracy
 Portugal,free,mostly free,good situation,flawed democracy
 Qatar,not free,moderately free,difficult situation,authoritarian regime
 Romania,free,moderately free,noticeable problems,flawed democracy
 Russia,not free,mostly unfree,very serious situation,authoritarian regime
 Rwanda,not free,mostly unfree,difficult situation,authoritarian regime
 Saint Kitts and Nevis,free,n/a,noticeable problems,n/a
 Saint Lucia,free,moderately free,noticeable problems,n/a
 Saint Vincent and the Grenadines,free,moderately free,noticeable problems,n/a
 Samoa,free,moderately free,satisfactory situation,n/a
 San Marino,free,n/a,n/a,n/a
 São Tomé and Príncipe,free,moderately free,n/a,n/a
 Saudi Arabia,not free,mostly unfree,very serious situation,authoritarian regime
 Senegal,partly free,moderately free,noticeable problems,hybrid regime
 Serbia,partly free,moderately free,noticeable problems,flawed democracy
 Seychelles,free,moderately free,satisfactory situation,n/a
 Sierra Leone,partly free,mostly unfree,satisfactory situation,hybrid regime
 Singapore,partly free,free,difficult situation,flawed democracy
 Slovakia,free,moderately free,satisfactory situation,flawed democracy
 Slovenia,free,mostly free,noticeable problems,flawed democracy
 Solomon Islands,free,mostly unfree,n/a,n/a
 Somalia,not free,n/a,difficult situation,n/a
 South Africa,free,mostly unfree,satisfactory situation,flawed democracy
 South Sudan,not free,n/a,difficult situation,n/a
 Spain,free,moderately free,satisfactory situation,flawed democracy
 Sri Lanka,partly free,mostly unfree,difficult situation,flawed democracy
 Sudan,not free,repressed,difficult situation,authoritarian regime
 Suriname,free,repressed,noticeable problems,flawed democracy
 Sweden,free,mostly free,good situation,full democracy
  Switzerland,free,free,satisfactory situation,full democracy
 Syria,not free,n/a,very serious situation,authoritarian regime
 Taiwan,free,free,satisfactory situation,full democracy
 Tajikistan,not free,repressed,difficult situation,authoritarian regime
 Tanzania,partly free,mostly unfree,difficult situation,hybrid regime
 Thailand,not free,moderately free,difficult situation,flawed democracy
 Togo,partly free,mostly unfree,noticeable problems,authoritarian regime
 Tonga,free,moderately free,noticeable problems,n/a
 Trinidad and Tobago,free,mostly unfree,satisfactory situation,flawed democracy
 Tunisia,partly free,mostly unfree,noticeable problems,hybrid regime
 Turkey,not free,mostly unfree,difficult situation,hybrid regime
 Turkmenistan,not free,repressed,very serious situation,authoritarian regime
 Tuvalu,free,n/a,n/a,n/a
 Uganda,not free,mostly unfree,difficult situation,hybrid regime
 Ukraine,partly free,mostly unfree,noticeable problems,hybrid regime
 United Arab Emirates,not free,mostly free,difficult situation,authoritarian regime
 United Kingdom,free,mostly free,satisfactory situation,full democracy
 United States,free,mostly free,satisfactory situation,flawed democracy
 Uruguay,free,mostly free,satisfactory situation,full democracy
 Uzbekistan,not free,mostly unfree,difficult situation,authoritarian regime
 Vanuatu,free,moderately free,n/a,n/a
 Venezuela,not free,repressed,very serious situation,authoritarian regime
 Vietnam,not free,moderately free,very serious situation,authoritarian regime
 Yemen,not free,n/a,very serious situation,authoritarian regime
 Zambia,partly free,repressed,noticeable problems,hybrid regime
 Zimbabwe,not free,repressed,difficult situation,authoritarian regime
